file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,getSupportedHyperlinkTypes/0,false,430,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getMatchingFilesFromSourceRoots/2[de.markiewb.netbeans.plugins.resourcehyperlink.Project,java.lang.String]",false,269,3,4,1,3,4,8,12,1,3,2,8,3,1,1,1,0,0,0,0,3,0,2,0,0,0,25,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"partialMatches/2[java.lang.String,de.markiewb.netbeans.plugins.resourcehyperlink.FileObject[]]",false,286,1,3,3,0,6,7,22,1,4,2,7,0,0,1,0,0,0,0,0,4,0,3,0,0,0,13,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider,"getSingleMatchOrAskForUserChoice/2[java.util.Collection<de.markiewb.netbeans.plugins.resourcehyperlink.FileObject>,de.markiewb.netbeans.plugins.resourcehyperlink.Project]",false,394,6,5,1,4,6,15,28,3,5,2,15,1,1,2,2,0,0,1,2,5,0,2,1,0,0,35,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Anonymous1,preferenceChange/1[java.util.prefs.PreferenceChangeEvent],false,133,0,0,0,0,2,4,5,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\test\java\NewMain.java,NewMain,main/1[java.lang.String[]],false,5,0,0,0,0,1,1,16,0,0,1,1,0,0,0,0,0,0,18,1,0,3,0,0,0,0,20,9,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,applyChanges/0,false,44,0,1,0,1,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,getPanel/0,false,82,1,5,4,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,addPropertyChangeListener/1[java.beans.PropertyChangeListener],false,74,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,changed/0,false,89,0,1,1,0,2,2,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,isValid/0,false,58,2,2,0,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,removePropertyChangeListener/1[java.beans.PropertyChangeListener],false,78,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,isChanged/0,false,62,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,cancel/0,false,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,getComponent/1[de.markiewb.netbeans.plugins.resourcehyperlink.options.Lookup],false,70,3,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,update/0,false,39,2,2,0,2,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigOptionsPanelController.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigOptionsPanelController,getHelpCtx/0,false,66,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$FileObjectTuple,toString/0,false,611,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$FileObjectTuple,"FileObjectTuple/2[de.markiewb.netbeans.plugins.resourcehyperlink.FileObject,java.lang.String]",true,606,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\test\java\NewMain1.java,NewMain1,main/1[java.lang.String[]],false,5,0,0,0,0,1,1,14,0,0,1,1,0,0,0,0,0,0,16,1,0,3,0,0,0,0,15,9,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\options\ConfigPanel.java,de.markiewb.netbeans.plugins.resourcehyperlink.options.ConfigPanel$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,34,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,"Pair/2[First,Second]",true,621,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,getFirst/0,false,626,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Codes\lab02-experimentacao-grupo04\..\lab02-experimentacao-grupo04\nb-resource-hyperlink-at-cursor\src\main\java\de\markiewb\netbeans\plugins\resourcehyperlink\ResourceHyperlinkProvider.java,de.markiewb.netbeans.plugins.resourcehyperlink.ResourceHyperlinkProvider$Pair,getSecond/0,false,630,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
